Team ID,Team Name,Category
"TDRC0054","Mogul 3","Drone RC"
"TDRC0056","Zumba","Drone RC"
"TDRC0057","Anarz","Drone RC"
"TDRC0058","Ayduu","Drone RC"
"TDRC0059","metsleg","Drone RC"
"TDRC0060","robo-14/erkhes/","Drone RC"
"TDRC0061","robo-14/bilguun/","Drone RC"
"TDRC0062","Mogul 1","Drone RC"
"TDRC0063","Mogul 2","Drone RC"
"TDRC0064","Gobi-Drone 2","Drone RC"
"TDRC0065","MEGA","Drone RC"
"TDRC0067","Hula","Drone RC"
"TDRC0068","School 11 Team1","Drone RC"
"TDRC0069","School11 Team(NandinZuulun)","Drone RC"
"TDRC0070","School11 Team(MungunGerel)","Drone RC"
"TDRC0071","pneumonoultramicroscopicsilicovolcanoconiosis","Drone RC"
"TDRC0072","ntht","Drone RC"
"TDRC0074","LogCoders3","Drone RC"
"TDRC0075","Tech Drone23","Drone RC"
"TDRC0078","Techno Drone23","Drone RC"
"TDRC0079","Хэнтий Амараа","Drone RC"
"TDRC0080","Хэнтий Цэнгэл","Drone RC"
"TDRC0081","SPEEDMIND 1","Drone RC"
"TDRC0082","SPEEDMIND 6","Drone RC"
"TDRC0083","Empathy - drone rc ","Drone RC"
"TDRC0084","Хэнтий Золбаяр","Drone RC"
"TDRC0086","Davka","Drone RC"
"TDRC0087","toto kb","Drone RC"
"TDRC0088","ulziidemberel","Drone RC"
"TDRC0089","batsuren khanbogd","Drone RC"
"TDRC0090","Bayrjawxlan","Drone RC"
"TDRC0091","Batireedvi","Drone RC"
"TDRC0092","Хэнтий Дэлгэрмөнх","Drone RC"
"TDRC0095","Enforcer","Drone RC"
"TDRC0096","tkku2n","Drone RC"
"TDRA0042","Elite Drone","Drone Auto"
"TDRA0045","Mogul 3","Drone Auto"
"TDRA0046","Ub Empathy Pro's ","Drone Auto"
"TDRA0049","robo-14/RONIN/","Drone Auto"
"TDRA0050","Mogul 1","Drone Auto"
"TDRA0051","Mogul 2","Drone Auto"
"TDRA0052","You and Me","Drone Auto"
"TDRA0053","GobiDrone","Drone Auto"
"TDRA0054","Mega","Drone Auto"
"TDRA0057","Hula","Drone Auto"
"TDRA0058","Special flier","Drone Auto"
"TDRA0059","School11 Team1","Drone Auto"
"TDRA0060","FlyHigh v2","Drone Auto"
"TDRA0061","School11 Team(NandinZuulun)","Drone Auto"
"TDRA0062","School11 Team(TugsMurun)","Drone Auto"
"TDRA0063","Flyhigh junior","Drone Auto"
"TDRA0064","Flying dutchman","Drone Auto"
"TDRA0065","Nano","Drone Auto"
"TDRA0066","BGB","Drone Auto"
"TDRA0067","SpiderMAN","Drone Auto"
"TDRA0068","DNG","Drone Auto"
"TDRA0072","AERO KB","Drone Auto"
"TDRA0073","Bilgvtei","Drone Auto"
"TDRA0074","Ulziidemberel","Drone Auto"
"TDRA0076","Zyron","Drone Auto"
"TDRA0078","zayagud","Drone Auto"
"TDRA0079","Atlas","Drone Auto"
"TDRA0083","empathy drone club ","Drone Auto"
"TDRA0084","tkku1n","Drone Auto"
